,wl,mean,1,2,3,meta,std
58,7349.66650390625,0.001483,0.001481,0.001483,0.001485,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.0000152e-06
59,7391.6248779296875,0.00156,0.00156,0.001562,0.001558,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.0000152e-06
60,7433.583251953125,0.00162667,0.001623,0.001627,0.00163,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,3.511856e-06
61,7475.5416259765625,0.00170133,0.001698,0.001703,0.001703,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.8867735e-06
62,7517.5,0.00177233,0.001771,0.001773,0.001773,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,1.1547094e-06
63,7559.4583740234375,0.00183933,0.00184,0.001837,0.001841,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.081682e-06
64,7601.416748046875,0.001914,0.00191,0.001916,0.001916,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,3.464128e-06
65,7643.3751220703125,0.001972,0.001972,0.001967,0.001977,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,4.9999217e-06
66,7685.33349609375,0.002038,0.002042,0.002036,0.002036,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,3.464128e-06
67,7727.2918701171875,0.00210067,0.002098,0.002101,0.002103,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.5166307e-06
68,7769.250244140625,0.00216267,0.002161,0.002166,0.002161,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.8867735e-06
69,7811.2086181640625,0.00222367,0.002227,0.002223,0.002221,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,3.0550739e-06
70,7853.1669921875,0.002278,0.002276,0.002276,0.002282,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,3.4639936e-06
71,7895.1253662109375,0.00233,0.002335,0.002327,0.002328,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,4.358932e-06
72,7937.083740234375,0.00238367,0.002383,0.002383,0.002385,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,1.1547094e-06
73,7979.0421142578125,0.00243333,0.002431,0.002443,0.002426,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,8.7368635e-06
74,8021.00048828125,0.00248367,0.002483,0.002485,0.002483,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,1.1547094e-06
75,8021.00048828125,0.002479,0.002478,0.002478,0.002481,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,1.732064e-06
76,8062.958760579427,0.00252467,0.002521,0.002527,0.002526,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,3.214442e-06
77,8104.9170328776045,0.00256767,0.002563,0.002565,0.002575,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,6.4291494e-06
78,8146.875305175781,0.00260567,0.002608,0.002607,0.002602,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,3.2145747e-06
79,8188.833577473958,0.00264633,0.002646,0.002643,0.00265,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,3.5118007e-06
80,8230.791849772135,0.00267867,0.002671,0.002683,0.002682,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,6.6582447e-06
81,8272.750122070312,0.00271433,0.002713,0.00272,0.00271,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,5.1316406e-06
82,8314.70839436849,0.00274767,0.002747,0.00275,0.002746,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,2.081682e-06
83,8356.666666666666,0.00277433,0.002777,0.002775,0.002771,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,3.0550739e-06
84,8398.624938964844,0.00279867,0.002798,0.0028,0.002798,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,1.1547094e-06
85,8440.583211263021,0.00280567,0.002805,0.002805,0.002807,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,1.1547094e-06
86,8482.541483561197,0.00280867,0.002802,0.002812,0.002812,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,5.773547e-06
87,8524.499755859375,0.00279433,0.002798,0.00279,0.002795,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,4.041377e-06
88,8566.458028157553,0.00276833,0.002775,0.002765,0.002765,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,5.7734123e-06
89,8608.416300455729,0.002712,0.002716,0.002708,0.002712,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,4.0000305e-06
90,8650.374572753906,0.00264833,0.002643,0.002651,0.002651,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,4.618703e-06
91,8692.332845052084,0.00252833,0.002526,0.002528,0.002531,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,2.5166307e-06
92,8734.29111735026,0.00241167,0.002413,0.002407,0.002415,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,4.163364e-06
93,8776.249389648438,0.00223733,0.002232,0.00224,0.00224,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,4.6188375e-06
94,8818.207661946615,0.00203733,0.002035,0.002035,0.002042,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,4.0414825e-06
95,8860.165934244791,0.00181767,0.001817,0.001821,0.001815,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,3.0550739e-06
96,8902.124206542969,0.00152633,0.001531,0.001521,0.001527,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,5.0331996e-06
97,8944.082478841146,0.00127233,0.001275,0.001267,0.001275,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,4.6188375e-06
98,8986.040751139322,0.00096367,0.000962,0.000967,0.000962,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,2.8867735e-06
99,9027.9990234375,0.00070533,0.000711,0.000698,0.000707,BB_RAD_300ms_700V_10p5tac_303Hz__8mil9mil_241024,6.658322e-06
100,9027.9990234375,0.000703,0.000702,0.000702,0.000705,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.732064e-06
101,9069.957397460938,0.00048667,0.000488,0.00049,0.000482,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,4.163331e-06
102,9111.915771484375,0.00032067,0.000321,0.00032,0.000321,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,5.773547e-07
103,9153.874145507812,0.00021067,0.000212,0.000208,0.000212,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,2.309402e-06
104,9195.83251953125,0.000128,0.000128,0.000128,0.000128,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,0.0
105,9237.790893554688,8.333e-05,8.2e-05,8.5e-05,8.3e-05,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.5275258e-06
106,9279.749267578125,5.333e-05,5.1e-05,5.3e-05,5.6e-05,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,2.5166123e-06
107,9321.707641601562,3.267e-05,3.3e-05,3.2e-05,3.3e-05,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,5.773505e-07
108,9363.666015625,2.1e-05,2.2e-05,2.1e-05,2e-05,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.0000003e-06
109,9405.624389648438,1.5e-05,1.5e-05,1.5e-05,1.5e-05,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,0.0
110,9447.582763671875,1.067e-05,1.2e-05,1e-05,1e-05,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.154701e-06
111,9489.541137695312,6.67e-06,7e-06,6e-06,7e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,5.773502e-07
